现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.000716858,0.000462316,-2.82814,0,0,-15.4663,-65.4932,-2.86769,0,0,-8.10453,-22.8517,-2.75,0,0,-35.4602,-130.026,-2.75,0,0
-0.000622991,0.000312888,-2.89769,0,0,-15.85,-65.9828,-2.96178,0,0,-8.44013,-23.2282,-2.85,0,0,-36.5408,-132.446,-2.85,0,0
-0.000559464,0.000211758,-2.91445,0,0,-16.2258,-68.2711,-3.00328,0,0,-8.78018,-24.0277,-2.9,0,0,-37.6174,-137.128,-2.9,0,0
-0.00051647,0.000143314,-2.93064,0,0,-16.5972,-68.9581,-3.04463,0,0,-9.12326,-24.349,-2.95,0,0,-38.6842,-139.417,-2.95,0,0
-0.000487372,9.6993e-005,-2.94593,0,0,-16.9626,-69.6418,-3.08561,0,0,-9.47377,-24.6834,-3,0,0,-39.7438,-141.716,-3,0,0
-0.000467679,6.56433e-005,-2.958,0,0,-17.3307,-70.3523,-3.12558,0,0,-9.82711,-24.9991,-3.05,0,0,-40.8167,-144.083,-3.05,0,0
-0.000454351,4.44264e-005,-2.97167,0,0,-17.696,-71.0089,-3.16607,0,0,-10.1803,-25.3036,-3.1,0,0,-41.8728,-146.349,-3.1,0,0
-0.000445331,3.00671e-005,-2.98317,0,0,-18.0593,-71.6892,-3.20578,0,0,-10.5352,-25.614,-3.15,0,0,-42.929,-148.673,-3.15,0,0
-0.000439226,2.03489e-005,-2.99314,0,0,-18.4236,-72.3582,-3.24498,0,0,-10.8921,-25.9251,-3.2,0,0,-43.9885,-151.007,-3.2,0,0
-0.000435095,1.37718e-005,-3.04904,0,0,-18.8023,-73.0547,-3.33455,0,0,-11.2518,-26.2373,-3.3,0,0,-45.0702,-153.404,-3.3,0,0
-0.000432298,9.32057e-006,-3.05665,0,0,-19.1778,-75.2259,-3.37295,0,0,-11.6068,-26.9951,-3.35,0,0,-46.1437,-158.072,-3.35,0,0
-0.000292573,0.000465752,-3.06452,0,0,-19.5446,-75.8038,-3.41131,0,0,-11.9594,-27.2912,-3.4,0,0,-47.2036,-160.348,-3.4,0,0
-0.000198009,0.000315214,-3.07038,0,0,-19.9104,-76.4185,-3.44902,0,0,-12.3124,-27.5979,-3.45,0,0,-48.2613,-162.664,-3.45,0,0
-0.000134009,0.000213332,-3.07556,0,0,-20.277,-77.021,-3.48651,0,0,-12.6684,-27.9128,-3.5,0,0,-49.3143,-164.971,-3.5,0,0
