现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
7.83726,4.91054,10.4,0,0,7.86155,4.87416,10.4,0,0,7.86856,4.87413,10.4,0,0,0,0,0,0,0
7.93888,4.93598,10.5,0,0,7.95912,4.88146,10.5,0,0,7.96542,4.86691,10.5,0,0,0,0,0,0,0
8.03297,4.91419,10.6,0,0,8.05793,4.88902,10.6,0,0,8.06328,4.87511,10.6,0,0,0,0,0,0,0
8.1354,4.94582,10.7,0,0,8.15523,4.88741,10.7,0,0,8.15966,4.87536,10.7,0,0,0,0,0,0,0
8.22917,4.91975,10.8,0,0,8.25544,4.89962,10.8,0,0,8.2601,4.8921,10.8,0,0,0,0,0,0,0
8.33199,4.95377,10.9,0,0,8.3518,4.88961,10.9,0,0,8.3578,4.88443,10.9,0,0,0,0,0,0,0
8.42785,4.93121,11,0,0,8.45234,4.90673,11,0,0,8.45622,4.89047,11,0,0,0,0,0,0,0
8.52864,4.9511,11.1,0,0,8.54975,4.8979,11.1,0,0,8.55522,4.89479,11.1,0,0,0,0,0,0,0
8.62471,4.93785,11.2,0,0,8.64881,4.90679,11.2,0,0,8.65295,4.89344,11.2,0,0,0,0,0,0,0
8.72435,4.95399,11.3,0,0,8.74559,4.90275,11.3,0,0,8.75137,4.89933,11.3,0,0,0,0,0,0,0
8.82205,4.94975,11.4,0,0,8.84549,4.91645,11.4,0,0,8.84936,4.90112,11.4,0,0,0,0,0,0,0
8.92214,4.95995,11.5,0,0,8.94417,4.91362,11.5,0,0,8.94787,4.90612,11.5,0,0,0,0,0,0,0
9.0199,4.95394,11.6,0,0,9.04156,4.91276,11.6,0,0,9.04387,4.90252,11.6,0,0,0,0,0,0,0
9.11623,4.95446,11.7,0,0,9.13905,4.91781,11.7,0,0,9.14293,4.9175,11.7,0,0,0,0,0,0,0
9.21624,4.97036,11.8,0,0,9.23889,4.92826,11.8,0,0,9.24118,4.9172,11.8,0,0,0,0,0,0,0
9.31517,4.96764,11.9,0,0,9.33693,4.92403,11.9,0,0,9.34075,4.9237,11.9,0,0,0,0,0,0,0
9.41579,4.97385,12,0,0,9.43772,4.93452,12,0,0,9.43874,4.92054,12,0,0,0,0,0,0,0
9.51333,4.96501,12.1,0,0,9.53603,4.92687,12.1,0,0,9.5385,4.92862,12.1,0,0,0,0,0,0,0
9.61354,4.97618,12.2,0,0,9.63292,4.92638,12.2,0,0,9.63491,4.92067,12.2,0,0,0,0,0,0,0
9.7092,4.96442,12.3,0,0,9.73239,4.93853,12.3,0,0,9.7341,4.93421,12.3,0,0,0,0,0,0,0
9.81051,4.98646,12.4,0,0,9.83203,4.93994,12.4,0,0,9.83356,4.93635,12.4,0,0,0,0,0,0,0
9.90824,4.9751,12.5,0,0,9.93114,4.93925,12.5,0,0,9.93221,4.93532,12.5,0,0,0,0,0,0,0
10.0099,4.98899,12.6,0,0,10.0286,4.93668,12.6,0,0,10.0306,4.93719,12.6,0,0,0,0,0,0,0
10.1058,4.97186,12.7,0,0,10.1304,4.95234,12.7,0,0,10.1302,4.94298,12.7,0,0,0,0,0,0,0
10.2072,4.99299,12.8,0,0,10.2265,4.93474,12.8,0,0,10.2282,4.93973,12.8,0,0,0,0,0,0,0
10.3034,4.97724,12.9,0,0,10.3264,4.95152,12.9,0,0,10.3256,4.9421,12.9,0,0,0,0,0,0,0
10.4046,4.99676,13,0,0,10.4237,4.94493,13,0,0,10.425,4.95165,13,0,0,0,0,0,0,0
10.502,4.98507,13.1,0,0,10.5257,4.96165,13.1,0,0,10.5246,4.95363,13.1,0,0,0,0,0,0,0
10.6036,5.00048,13.2,0,0,10.6243,4.94975,13.2,0,0,10.6246,4.95497,13.2,0,0,0,0,0,0,0
10.7022,4.98992,13.3,0,0,10.7238,4.95417,13.3,0,0,10.7232,4.95145,13.3,0,0,0,0,0,0,0
10.8006,4.99174,13.4,0,0,10.823,4.95472,13.4,0,0,10.8218,4.9541,13.4,0,0,0,0,0,0,0
10.9006,4.99885,13.5,0,0,10.922,4.95546,13.5,0,0,10.9192,4.95363,13.5,0,0,0,0,0,0,0
10.9978,4.99216,13.6,0,0,11.0208,4.95676,13.6,0,0,11.0218,4.97151,13.6,0,0,0,0,0,0,0
11.101,5.01204,13.7,0,0,11.1216,4.96394,13.7,0,0,11.1176,4.94952,13.7,0,0,0,0,0,0,0
11.1969,4.98784,13.8,0,0,11.2207,4.95821,13.8,0,0,11.2203,4.97457,13.8,0,0,0,0,0,0,0
11.2997,5.01237,13.9,0,0,11.3197,4.9596,13.9,0,0,11.3127,4.94409,13.9,0,0,0,0,0,0,0
11.3937,4.98579,14,0,0,11.4161,4.95496,14,0,0,11.4174,4.98864,14,0,0,0,0,0,0,0
11.4986,5.02374,14.1,0,0,11.5199,4.9802,14.1,0,0,11.5124,4.95556,14.1,0,0,0,0,0,0,0
11.5946,4.99259,14.2,0,0,11.6164,4.95491,14.2,0,0,11.619,4.99391,14.2,0,0,0,0,0,0,0
11.7005,5.02452,14.3,0,0,11.7186,4.97561,14.3,0,0,11.7207,4.96981,14.3,0,0,0,0,0,0,0
11.7989,4.99486,14.4,0,0,11.819,4.96727,14.4,0,0,11.8107,4.93712,14.4,0,0,0,0,0,0,0
11.8932,4.98779,14.5,0,0,11.9131,4.95053,14.5,0,0,11.9066,4.97008,14.5,0,0,0,0,0,0,0
